GENESIS-Tabelle: 23211-0004
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr
2019;Insgesamt;1387;615;608;990;1227;1753;2491;3569;6554;13671;23017;31652;41530;44770;74024;92768;125259;1098;456;266;360;518;882;1408;1866;3586;7744;12535;17314;23974;29120;55041;88671;228796
2019;Bestimmte infektiöse und parasitäre Krankheiten;13;17;6;10;20;26;46;69;114;216;330;442;589;764;1315;1721;2197;6;15;2;5;7;16;16;31;58;86;170;213;399;499;1013;1739;4024
2019;Tuberkulose einschließlich ihrer Folgezustände;-;1;1;2;2;1;4;6;3;10;12;15;15;13;29;35;33;-;-;1;1;1;1;2;-;1;-;3;2;3;10;19;26;34
2019;Meningokokkeninfektion;-;1;1;1;1;-;-;-;2;-;2;1;1;-;1;1;-;2;2;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1
2019;Virushepatitis;-;-;-;1;1;-;6;20;19;26;48;51;27;46;37;38;18;-;-;-;-;-;1;1;8;3;15;16;17;21;30;34;44;56
2019;HIV-Krankheit;-;-;-;-;6;9;12;15;29;30;41;29;17;16;16;10;2;-;1;-;-;-;4;2;8;6;7;7;8;2;4;-;2;2
2019;Neubildungen;6;143;71;91;134;225;384;621;1585;4032;7998;11794;15882;16692;24123;24099;21402;12;109;47;60;115;305;578;870;1691;3971;6458;8550;11046;11927;18122;20922;25526
2019;Bösartige Neubildungen (BN);6;140;68;89;126;216;372;602;1549;3979;7884;11580;15570;16300;23416;23144;20150;6;103;46;57;114;300;564;856;1675;3933;6365;8429;10850;11673;17573;19998;23585
2019;BN der Lippe, der Mundhöhle und des Pharynx;-;-;-;1;2;5;11;27;86;260;584;648;653;528;480;372;231;-;-;-;-;1;2;8;12;26;72;138;172;200;176;198;216;258
2019;BN des Ösophagus;-;-;-;-;-;2;16;27;88;247;433;618;743;675;727;581;353;-;-;-;-;-;1;3;6;10;40;82;159;152;175;242;231;231
